Security Description,ISIN,CUSIP,Market Value %,GICS Sector,Country Name,MSCI ESG Rating
JAPAN REAL ESTATE INVESTMENT TRUST,JP3027680002,S63975809,0.0%,Real Estate,Japan,A
JFE HOLDINGS INC,JP3386030005,S65437923,0.0%,Materials,Japan,AA
JSR CORP,JP3385980002,S64709868,0.0%,Materials,Japan,A
KAJIMA CORP,JP3210200006,S64813207,0.0%,Industrials,Japan,A
KANEKA CORP,JP3215800008,S64833601,0.0%,Materials,Japan,A
KAO CORP,JP3205800000,S64838097,0.0%,Consumer Staples,Japan,AA
KATITAS LTD,JP3932950003,SBF0QD699,0.0%,Real Estate,Japan,BB
KAWASAKI HEAVY INDUSTRIES LTD,JP3224200000,S64846207,0.0%,Industrials,Japan,A
KDDI CORP,JP3496400007,S62489901,0.0%,Communication Services,Japan,AAA
KEIO CORP,JP3277800003,S64873623,0.0%,Industrials,Japan,AA
KEISEI ELECTRIC RAILWAY LTD,JP3278600006,S64874258,0.0%,Industrials,Japan,A
KEYENCE CORP,JP3236200006,S64909955,0.0%,Information Technology,Japan,BBB
KIKKOMAN CORP,JP3240400006,S64908098,0.0%,Consumer Staples,Japan,A
KIRIN HOLDINGS LTD,JP3258000003,S64937451,0.0%,Consumer Staples,Japan,AA
KOBAYASHI PHARMACEUTICAL LTD,JP3301100008,S61494571,0.0%,Consumer Staples,Japan,BBB
KOBE STEEL LTD,JP3289800009,S64960230,0.0%,Materials,Japan,A
KOMATSU LTD,JP3304200003,S64965841,0.0%,Industrials,Japan,AA
KOMERI LTD,JP3305600003,S64962509,0.0%,Consumer Discretionary,Japan,BBB
KONICA MINOLTA INC,JP3300600008,S64967003,0.0%,Information Technology,Japan,AA
KUBOTA CORP,JP3266400005,S64975097,0.0%,Industrials,Japan,AA
KURITA WATER INDUSTRIES LTD,JP3270000007,S64979636,0.0%,Industrials,Japan,AA
KYOCERA CORP,JP3249600002,S64992605,0.0%,Information Technology,Japan,A
KYOWA KIRIN LTD,JP3256000005,S64995509,0.0%,Health Care,Japan,A
LASERTEC CORP,JP3979200007,S65062671,0.0%,Information Technology,Japan,CCC
LEOPALACE21 CORP,JP3167500002,S65984247,0.0%,Real Estate,Japan,CCC
LIXIL CORP,JP3626800001,S69002129,0.0%,Industrials,Japan,AA
M3 INC,JP3435750009,SB02K2M36,0.0%,Health Care,Japan,BBB
MAKITA CORP,JP3862400003,S65558058,0.0%,Industrials,Japan,BB
MARS GROUP HOLDINGS CORP,JP3860220007,S65925562,0.0%,Consumer Discretionary,Japan,
MAZDA MOTOR CORP,JP3868400007,S69003085,0.0%,Consumer Discretionary,Japan,A
MCDONALDS HOLDINGS (JAPAN) LTD,JP3750500005,S63718639,0.0%,Consumer Discretionary,Japan,BB
MEIDENSHA CORP,JP3919800007,S65759003,0.0%,Industrials,Japan,A
MINEBEA MITSUMI INC,JP3906000009,S66424060,0.0%,Industrials,Japan,BBB
MITSUBISHI CHEMICAL CORP,JP3897700005,SB0JQTJ04,0.0%,Materials,Japan,AA
MITSUBISHI CORP,JP3898400001,S65967853,0.0%,Industrials,Japan,A
MITSUBISHI ELECTRIC CORP,JP3902400005,S65970451,0.0%,Industrials,Japan,BBB
MITSUBISHI ESTATE LTD,JP3899600005,S65967291,0.0%,Real Estate,Japan,A
MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,S65970675,0.0%,Industrials,Japan,A
MITSUBISHI UFJ FINANCIAL GROUP INC,JP3902900004,S63351712,0.1%,Financials,Japan,A
MITSUI FUDOSAN LTD,JP3893200000,S65976037,0.1%,Real Estate,Japan,A
MITSUI LTD,JP3893600001,S65973026,0.1%,Industrials,Japan,A
MITSUI OSK LINES LTD,JP3362700001,S65975849,0.0%,Industrials,Japan,BB
MIZUHO FINANCIAL GROUP INC,JP3885780001,S65910143,0.0%,Financials,Japan,A
MIZUHO LEASING LIMITED LTD,JP3286500008,SB02QLW45,0.0%,Financials,Japan,BB
MS&AD INSURANCE GROUP HOLDINGS INC,JP3890310000,SB2Q4CS15,0.0%,Financials,Japan,AA
MURATA MANUFACTURING LTD,JP3914400001,S66104035,0.1%,Information Technology,Japan,A
MUSASHI SEIMITSU INDUSTRY LTD,JP3912700006,S61352290,0.0%,Consumer Discretionary,Japan,B
NEC CORP,JP3733000008,S66404005,0.1%,Information Technology,Japan,A
NEXON LTD,JP3758190007,SB63QM776,0.0%,Communication Services,Japan,BB
NGK INSULATORS LTD,JP3695200000,S66195074,0.0%,Industrials,Japan,A
NHK SPRING LTD,JP3742600004,S66196486,0.0%,Consumer Discretionary,Japan,B
NIDEC CORP,JP3734800000,S66406828,0.0%,Industrials,Japan,BBB
NIKON CORP,JP3657400002,S66423211,0.0%,Consumer Discretionary,Japan,AA
NINTENDO LTD,JP3756600007,S66395500,0.1%,Communication Services,Japan,AA
NIPPON BUILDING FUND REIT INC,JP3027670003,S63968002,0.0%,Real Estate,Japan,A
NIPPON EXPRESS HOLDINGS INC,JP3688370000,SBKSHP638,0.0%,,Japan,AA
NIPPON PAINT HOLDINGS LTD,JP3749400002,S66405077,0.0%,Materials,Japan,A
NIPPON PROLOGIS REIT INC,JP3047550003,SB98BC671,0.0%,Real Estate,Japan,A
NIPPON STEEL CORP,JP3381000003,S66425695,0.0%,Materials,Japan,A
NIPPON TELEGRAPH AND TELEPHONE COR,JP3735400008,S66413733,0.1%,Communication Services,Japan,A
NIPPON YUSEN,JP3753000003,S66439605,0.0%,Industrials,Japan,AA
NISSAN CHEMICAL CORP,JP3670800006,S66415886,0.0%,Materials,Japan,BBB
NISSAN MOTOR LTD,JP3672400003,S66428608,0.0%,Consumer Discretionary,Japan,CCC
NISSIN FOODS HOLDINGS LTD,JP3675600005,S66417601,0.0%,Consumer Staples,Japan,A
NISSIN KOGYO LTD,JP3675300002,S60714755,0.0%,Consumer Discretionary,Japan,
NITORI HOLDINGS LTD,JP3756100008,S66448002,0.0%,Consumer Discretionary,Japan,A
NITTO DENKO CORP,JP3684000007,S66418013,0.0%,Materials,Japan,AA
NOK CORP,JP3164800009,S66424284,0.0%,Consumer Discretionary,Japan,BB
NOMURA HOLDINGS INC,JP3762600009,S66431081,0.0%,Financials,Japan,AA
NOMURA REAL ESTATE HOLDINGS INC,JP3762900003,SB1CWJM58,0.0%,Real Estate,Japan,A
NOMURA REAL ESTATE MASTER FUND REI,JP3048110005,SBYSJJF43,0.0%,Real Estate,Japan,BBB
NOMURA RESEARCH INSTITUTE LTD,JP3762800005,S63909212,0.0%,Information Technology,Japan,AAA
NTT DATA CORP,JP3165700000,S61256392,0.0%,Information Technology,Japan,A
OBAYASHI CORP,JP3190000004,S66564071,0.0%,Industrials,Japan,AA
OBIC LTD,JP3173400007,S61367496,0.0%,Information Technology,Japan,BB
OJI HOLDINGS CORP,JP3174410005,S66577016,0.0%,Materials,Japan,BBB
OKI ELECTRIC INDUSTRY LTD,JP3194000000,S66576828,0.0%,Information Technology,Japan,BB
OLYMPUS CORP,JP3201200007,S66588013,0.0%,Health Care,Japan,BB
OMRON CORP,JP3197800000,S66594284,0.0%,Information Technology,Japan,AAA
ONO PHARMACEUTICAL LTD,JP3197600004,S66601071,0.0%,Health Care,Japan,AA
ONWARD HOLDINGS LTD,JP3203500008,S64838212,0.0%,Consumer Discretionary,Japan,B
ORACLE JAPAN CORP,JP3689500001,S61416806,0.0%,Information Technology,Japan,BBB
ORIENTAL LAND LTD,JP3198900007,S66488917,0.0%,Consumer Discretionary,Japan,A
ORIX CORP,JP3200450009,S66611443,0.1%,Financials,Japan,AA
OSAKA GAS LTD,JP3180400008,S66617689,0.0%,Utilities,Japan,A
OTSUKA HOLDINGS LTD,JP3188220002,SB5LTM931,0.0%,Health Care,Japan,BBB
PAL GROUP HOLDINGS LTD,JP3781650001,S64218985,0.0%,Consumer Discretionary,Japan,BB
PAN PACIFIC INTERNATIONAL HOLDINGS,JP3639650005,S62698618,0.0%,Consumer Discretionary,Japan,BBB
PANASONIC HOLDINGS CORP,JP3866800000,S65727075,0.0%,Consumer Discretionary,Japan,AA
PERSOL HOLDINGS LTD,JP3547670004,SB3CY7096,0.0%,Industrials,Japan,A
RAKUTEN GROUP INC,JP3967200001,S62295977,0.0%,Consumer Discretionary,Japan,BBB
RECRUIT HOLDINGS LTD,JP3970300004,SBQRRZ003,0.0%,Industrials,Japan,AA
RELIA INC,JP3922200005,S61291589,0.0%,Information Technology,Japan,B
RENESAS ELECTRONICS CORP,JP3164720009,S66356775,0.1%,Information Technology,Japan,BBB
RESONA HOLDINGS INC,JP3500610005,S64215536,0.0%,Financials,Japan,AA
RICOH LEASING LTD,JP3974100004,S67291161,0.0%,Financials,Japan,A
RICOH LTD,JP3973400009,S67382200,0.0%,Information Technology,Japan,A
RIKEN CORP,JP3970600007,S67402032,0.0%,Consumer Discretionary,Japan,
ROHM LTD,JP3982800009,S67472043,0.0%,Information Technology,Japan,A
SANKYO TATEYAMA INC,JP3326800004,SB8W6W721,0.0%,Industrials,Japan,
SECOM LTD,JP3421800008,S67915918,0.0%,Industrials,Japan,A
SEIKO EPSON CORP,JP3414750004,S66165085,0.0%,Information Technology,Japan,A
SEKISUI CHEMICAL LTD,JP3419400001,S67938217,0.0%,Consumer Discretionary,Japan,AA
SEKISUI HOUSE LTD,JP3420600003,S67939066,0.0%,Consumer Discretionary,Japan,AA
SEVEN & I HOLDINGS LTD,JP3422950000,SB0FS5D65,0.1%,Consumer Staples,Japan,BBB
SG HOLDINGS LTD,JP3162770006,SBFFY8854,0.0%,Industrials,Japan,AAA
SHARP CORP,JP3359600008,S68006022,0.0%,Consumer Discretionary,Japan,BBB
SHIMAMURA LTD,JP3358200008,S68040351,0.0%,Consumer Discretionary,Japan,BB
SHIMANO INC,JP3358000002,S68048206,0.0%,Consumer Discretionary,Japan,BB
SHIN ETSU CHEMICAL LTD,JP3371200001,S68045855,0.0%,Materials,Japan,BBB
SHIONOGI LTD,JP3347200002,S68046820,0.0%,Health Care,Japan,AA
SHISEIDO LTD,JP3351600006,S68052653,0.0%,Consumer Staples,Japan,BBB
SHOWA DENKO,JP3368000000,S68054691,0.1%,Materials,Japan,BBB
SMC (JAPAN) CORP,JP3162600005,S67639658,0.0%,Industrials,Japan,BB
SOFTBANK CORP,JP3732000009,SBF5M0K52,0.0%,Communication Services,Japan,AA
SOFTBANK GROUP CORP,JP3436100006,S67706200,0.0%,Communication Services,Japan,BBB
SOMPO HOLDINGS INC,JP3165000005,SB62G7K69,0.0%,Financials,Japan,AAA
SONY GROUP CORP,JP3435000009,S68215060,0.1%,Consumer Discretionary,Japan,AAA
SQUARE ENIX HLDG LTD,JP3164630000,S63092621,0.0%,Communication Services,Japan,A
SUMCO CORP,JP3322930003,SB0M0C895,0.0%,Information Technology,Japan,BBB
SUMITOMO CHEMICAL LTD,JP3401400001,S68585603,0.0%,Materials,Japan,AAA
SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005,S68587088,0.0%,Consumer Discretionary,Japan,BB
SUMITOMO HEAVY INDUSTRIES LTD,JP3405400007,S68587310,0.0%,Industrials,Japan,BBB
SUMITOMO METAL MINING LTD,JP3402600005,S68588490,0.0%,Materials,Japan,A
SUMITOMO MITSUI FINANCIAL GROUP IN,JP3890350006,S65630246,0.0%,Financials,Japan,A
SUMITOMO MITSUI TRUST HOLDINGS INC,JP3892100003,S64318975,0.0%,Financials,Japan,AA
SUMITOMO REALTY & DEVELOPMENT LTD,JP3409000001,S68589027,0.0%,Real Estate,Japan,A
SUMITOMO RIKO LTD,JP3564200008,S68939149,0.0%,Consumer Discretionary,Japan,A
SUNTORY BEVERAGE & FOOD LTD,JP3336560002,SBBD7Q846,0.0%,Consumer Staples,Japan,AA
SUZUKI MOTOR CORP,JP3397200001,S68655042,0.0%,Consumer Discretionary,Japan,B
SYSMEX CORP,JP3351100007,S68838077,0.0%,Health Care,Japan,AAA
T&D HOLDINGS INC,JP3539220008,S67442947,0.0%,Financials,Japan,A
TAISEI CORP,JP3443600006,S68701002,0.0%,Industrials,Japan,A
TAKEDA PHARMACEUTICAL LTD,JP3463000004,S68704451,0.1%,Health Care,Japan,A
TBS HOLDINGS INC,JP3588600001,S68941665,0.0%,Communication Services,Japan,BBB
TDK CORP,JP3538800008,S68693027,0.0%,Information Technology,Japan,AA
TERUMO CORP,JP3546800008,S68850742,0.0%,Health Care,Japan,AA
TIS INC,JP3104890003,SB2Q4CR08,0.0%,Information Technology,Japan,A
TOBU RAILWAY LTD,JP3597800006,S68951698,0.0%,Industrials,Japan,A
TOHO (TOKYO) LTD,JP3598600009,S68952001,0.0%,Communication Services,Japan,BB
TOKIO MARINE HOLDINGS INC,JP3910660004,S65131260,0.0%,Financials,Japan,A
TOKYO ELECTRON LTD,JP3571400005,S68956754,0.0%,Information Technology,Japan,AA
TOKYO GAS LTD,JP3573000001,S68954486,0.0%,Utilities,Japan,AA
TOKYO KIRABOSHI FINANCIAL GROUP IN,JP3584400000,SBQQ1JS90,0.0%,Financials,Japan,
TOKYU CORP,JP3574200006,S68965482,0.0%,Industrials,Japan,AA
TOPIX INDEX JUN 22,,TPM220228,0.0%,,Japan,
TOPIX INDEX SEP 22,,TPU220229,0.0%,,Japan,
TOPPAN PRINTING INC,JP3629000005,S68970243,0.0%,Industrials,Japan,BBB
TORAY INDUSTRIES INC,JP3621000003,S68971431,0.0%,Materials,Japan,AAA
TOSHIBA CORP,JP3592200004,S68972173,0.0%,Industrials,Japan,BB
TOSHIBA TEC CORP,JP3594000006,S68948876,0.0%,Information Technology,Japan,A
TOTO LTD,JP3596200000,S68974666,0.0%,Industrials,Japan,AA
TOYOTA INDUSTRIES CORP,JP3634600005,S69005460,0.0%,Industrials,Japan,BB
TOYOTA MOTOR CORP,JP3633400001,S69006435,0.2%,Consumer Discretionary,Japan,A
TREND MICRO INC,JP3637300009,S61252862,0.0%,Information Technology,Japan,BBB
TSUBAKIMOTO CHAIN,JP3535400000,S69067049,0.0%,Industrials,Japan,BB
UBE CORP,JP3158800007,S69107050,0.0%,Materials,Japan,BBB
UNICHARM CORP,JP3951600000,S69114858,0.0%,Consumer Staples,Japan,BBB
WELCIA HOLDINGS LTD,JP3274280001,SB3CF1G69,0.0%,Consumer Staples,Japan,BBB
WEST JAPAN RAILWAY,JP3659000008,S69579951,0.0%,Industrials,Japan,AA
YAKULT HONSHA LTD,JP3931600005,S69851129,0.0%,Consumer Staples,Japan,BBB
YAMAHA CORP,JP3942600002,S66423872,0.0%,Consumer Discretionary,Japan,AA
YAMAHA MOTOR LTD,JP3942800008,S69852648,0.0%,Consumer Discretionary,Japan,AAA
YAMATO HOLDINGS LTD,JP3940000007,S69855658,0.0%,Industrials,Japan,A
YASKAWA ELECTRIC CORP,JP3932000007,S69860419,0.0%,Industrials,Japan,AA
YOKOGAWA ELECTRIC CORP,JP3955000009,S69864270,0.0%,Information Technology,Japan,AA
YUKIGUNI MAITAKE LTD,JP3947010009,SBMF52S59,0.0%,,Japan,A
Z HOLDINGS CORP,JP3933800009,S60848488,0.0%,Communication Services,Japan,AAA
